"","year","weekofyear","ndvi_ne","ndvi_nw","ndvi_se","ndvi_sw","precipitation_amt_mm","reanalysis_air_temp_k","reanalysis_avg_temp_k","reanalysis_dew_point_temp_k","reanalysis_max_air_temp_k","reanalysis_min_air_temp_k","reanalysis_precip_amt_kg_per_m2","reanalysis_relative_humidity_percent","reanalysis_sat_precip_amt_mm","reanalysis_specific_humidity_g_per_kg","reanalysis_tdtr_k","station_avg_temp_c","station_diur_temp_rng_c","station_max_temp_c","station_min_temp_c","station_precip_mm","total_cases","peak"
"439",1998,40,-0.0022,0.0382,0.1618857,0.1683143,223.61,27.447142857,27.607142857,23.388571429,29.75,25.35,124.4,78.7828571429,223.61,18.0614285714,2.8,27.9142857143,6.28571428571,32.8,23.9,24.7,102,1
"440",1998,41,-0.0022,-0.019,0.1630571,0.1492,33.26,27.562857143,27.592857143,23.771428571,29.75,25.75,28.3,79.9985714286,33.26,18.4185714286,2.34285714286,28.2571428571,5.5,31.7,24.4,25,127,1
"441",1998,42,-0.0022,0.08155,0.1864143,0.1386857,25.94,27.645714286,27.707142857,23.462857143,29.75,26.15,18.5,78.0985714286,25.94,18.0914285714,2.68571428571,27.7571428571,6.31428571429,31.7,23.3,15.5,73,1
"442",1998,43,0.0213,0.085,0.1969667,0.1962,32.09,27.097142857,27.085714286,23.75,28.75,25.65,36.5,82.0385714286,32.09,18.41,2.12857142857,28.1571428571,6.92857142857,33.9,23.9,26.7,68,1
"443",1998,44,-0.0359,-0.0726,0.1117286,0.09242857,182.46,26.698571429,26.835714286,23.717142857,28.95,24.55,92.4,83.8657142857,182.46,18.3757142857,2.08571428571,27.7142857143,6.12857142857,32.8,23.3,54.6,64,1
"444",1998,45,-0.0359,-0.00225,0.2212286,0.1698,121.65,26.502857143,26.542857143,23.792857143,28.55,25.35,89.5,85.12,121.65,18.4842857143,1.78571428571,27.4285714286,6.45714285714,31.1,23.3,81.5,55,1
"445",1998,46,0.003866667,-0.05725,0.1859167,0.09834286,18.07,26.8528571430001,26.9,23.27,29.25,24.75,36.1,80.9142857143,18.07,17.8685714286,2.07142857143,27.7857142857,6.67142857143,32.8,23.3,8.7,67,1
"446",1998,47,0.003866667,-0.05725,0.2537429,0.2166143,110.03,25.525714286,25.507142857,23.032857143,27.15,24.15,143.4,86.2142857143,110.03,17.6271428571,1.48571428571,26.7285714286,6.21428571429,30.6,23.3,71.3,84,1
"793",2005,30,-0.1087,-0.00945,0.2564429,0.2153714,64.25,27.702857143,27.771428571,24.43,29.75,25.55,34.3,82.4085714286,64.25,19.1142857143,2.72857142857,28.9285714286,6.17142857143,32.2,23.9,73.8,75,1
"794",2005,31,-0.06475,-0.0267,0.1404,0.1212,80.34,28.008571429,27.957142857,24.141428571,29.85,26.15,54.1,79.6214285714,80.34,18.8314285714,2.87142857143,28.9428571429,5.92857142857,33.3,25,41,83,1
"795",2005,32,-0.06475,0.02365,0.2691286,0.1919286,18.15,28.198571429,28.228571429,24.217142857,30.35,26.05,11.93,79.2528571429,18.15,18.9385714286,2.98571428571,29.4714285714,6.97142857143,33.9,25.6,12.6,82,1
"796",2005,33,0.0479,0.069675,0.08632857,0.09587143,29.86,28.315714286,28.3142857140001,24.038571429,30.55,26.05,21.1,77.74,29.86,18.72,3.41428571429,29.3285714286,6.5,33.3,25.6,18.1,126,1
"797",2005,34,-0.1224,0.051,0.1057714,0.1418714,99.02,28.028571429,28.071428571,23.542857143,30.55,25.95,28.1,76.7342857143,99.02,18.1742857143,3.38571428571,27.9285714286,7.92857142857,33.3,22.8,31.7,119,1
"798",2005,35,-0.1224,-0.0073,0.11122,0.1085857,77.05,28.141428571,28.242857143,24.137142857,30.25,26.35,30,79.0814285714,77.05,18.8671428571,3.18571428571,28.0857142857,6.57142857143,32.2,22.2,104.4,137,1
"799",2005,36,0.0022,-0.0271,0.2050286,0.2202333,23.3,28.315714286,28.364285714,23.492857143,30.95,25.45,3.7,75.4385714286,23.3,18.1571428571,4.42857142857,28.8571428571,7.05714285714,33.9,24.4,8.9,131,1
"800",2005,37,0.0073,0.0049,0.1523429,0.1456286,43.57,29.05,29.014285714,24.645714286,31.15,26.75,11.9,77.2728571429,43.57,19.44,3.38571428571,29.2428571429,7.55714285714,33.9,24.4,61,112,1
"801",2005,38,0.0252,-0.05933333,0.1554286,0.1780286,66.86,28.345714286,28.364285714,23.85,30.55,25.75,14.6,76.6614285714,66.86,18.5057142857,3.57142857143,28.5857142857,6.65714285714,32.2,24.4,15.1,82,1
"802",2005,39,0.0012,-0.02986667,0.1802833,0.1557333,36.86,27.964285714,28.221428571,23.978571429,30.85,25.65,38.4,79.0828571429,36.86,18.7042857143,3.54285714286,28.6285714286,6.15714285714,32.2,25,19.8,73,1
"803",2005,40,0.0488,0.0394,0.1125571,0.07724286,68.31,27.94,27.978571429,23.807142857,30.15,26.35,27.3,78.3514285714,68.31,18.4985714286,2.68571428571,28.0142857143,6.34285714286,32.8,23.3,18.6,43,1
"902",2007,35,0.0821,0.06376667,0.1511429,0.1315429,62.56,27.678571429,27.828571429,23.382857143,30.55,25.85,30.89,77.5642857143,62.56,18,2.7,28.3857142857,6.92857142857,33.9,23.9,20.1,92,1
"903",2007,36,0.0821,0.0433,0.2283333,0.2021857,30.77,28.068571429,28.092857143,23.295714286,30.15,25.75,19.74,75.3457142857,30.77,17.87,3,28.3142857143,6.58571428571,33.3,23.9,25.9,71,1
"904",2007,37,0.0821,0.0569,0.2385429,0.1874857,10.37,27.967142857,28,23.138571429,30.35,25.65,22.24,75.1957142857,10.37,17.72,3.15714285714,28.8714285714,6.51428571429,33.9,25,10.4,112,1
"905",2007,38,-0.01345,0.0749,0.1525714,0.1319286,70.39,28.067142857,28.157142857,23.411428571,29.95,25.75,26.14,75.97,70.39,18.0371428571,2.81428571429,28.3,6.28571428571,32.8,24.4,26.9,106,1
"906",2007,39,-0.0307,-0.00294,0.1527286,0.1446286,94.37,27.902857143,28.028571429,23.36,30.35,25.85,16.15,76.4057142857,94.37,17.9814285714,3.58571428571,28.1714285714,6.02857142857,32.2,24.4,21.3,101,1
"907",2007,40,0.096,0.02476667,0.1853,0.1177286,74.5,27.872857143,27.878571429,23.492857143,30.35,25.95,17.6,77.19,74.5,18.1185714286,2.68571428571,27.9857142857,7.24285714286,32.8,22.2,86.6,170,1
"908",2007,41,0.009,0.104,0.1181286,0.1263429,108.26,27.64,27.792857143,23.685714286,29.75,26.15,21.98,79.1785714286,108.26,18.3757142857,3,28.1285714286,6.91428571429,33.3,23.9,14.5,135,1
"909",2007,42,0.021,0.1326667,0.2459429,0.1897571,17.56,28.342857143,28.485714286,23.204285714,30.45,26.25,8.3,73.8671428571,17.56,17.8457142857,3.18571428571,29.1,7.54285714286,33.9,24.4,10.2,106,1
"910",2007,43,0.021,-0.00915,0.1911857,0.1764,16.48,27.857142857,27.942857143,22.724285714,29.65,25.85,15.66,73.6614285714,16.48,17.2757142857,2.47142857143,27.9571428571,6.44285714286,32.2,24.4,8.6,68,1
"911",2007,44,0.1243,0.0543,0.1568143,0.1235286,137.55,26.308571429,26.392857143,22.87,28.95,24.55,174.64,81.5942857143,137.55,17.5028571429,2.6,26.2,5.4,30.6,22.2,89.2,48,1
"912",2007,45,-0.2517,-0.0486,0.2051714,0.1728833,15.25,27.454285714,27.535714286,22.688571429,29.45,25.05,10.3,75.35,15.25,17.2957142857,2.25714285714,27.4428571429,6.85714285714,32.2,22.8,4.1,48,1
"359",1997,12,0.1409,0.12525,0.2582143,0.2533286,0,23.928571429,24.071428571,19.617142857,25.95,22.85,17.92,76.9042857143,0,14.2228571429,1.9,24.7428571429,6.58571428571,28.9,21.1,15.2,9,0
"360",1997,13,0.11245,0.107,0.2076143,0.2154,0,24.571428571,24.771428571,19.6085714290001,27.45,22.55,7,74.1185714286,0,14.2271428571,3.44285714286,25.3142857143,8.07142857143,31.1,20.6,1.5,14,0
"361",1997,14,0.11245,0.123,0.1983167,0.1916833,0,24.542857143,24.707142857,19.625714286,26.75,22.35,5.9,74.2057142857,0,14.2314285714,2.68571428571,25.0857142857,7.45714285714,29.4,20.6,2.9,11,0
"362",1997,15,0.0602,0.069825,0.2164286,0.2027714,6.65,23.445714286,23.485714286,18.692857143,27.55,21.15,18.73,74.85,6.65,13.4928571429,2.38571428571,25.3571428571,5.61428571429,31.1,21.7,0.6,11,0
"363",1997,16,0.033075,0.05155,0.2085429,0.2354857,0,24.028571429,24.3142857140001,18.524285714,26.45,21.95,7.5,71.5585714286,0,13.35,2.78571428571,25.9,7.92857142857,31.7,20,0.8,19,0
"364",1997,17,0.0388,0.023,0.2024429,0.2222571,0,25.671428571,25.9,20.948571429,28.55,23.55,16.2,75.4171428571,0,15.5014285714,3.84285714286,27.6714285714,9.61428571429,34.4,21.1,0,10,0
"365",1997,18,-0.0035,0.007333333,0.1991,0.1928833,5.73,26.054285714,26.235714286,21.67,28.55,23.55,4,76.9528571429,5.73,16.17,3.45714285714,27.7714285714,8.27142857143,33.9,22.8,0.5,8,0
"366",1997,19,-0.0597,0.0331,0.1650857,0.1324571,0,26.2,26.357142857,21.577142857,27.95,24.65,1.5,75.8785714286,0,16.0785714286,2.7,27.9285714286,8.42857142857,33.9,23.3,0.3,8,0
"367",1997,20,0.1019,0.0747,0.1175167,0.1297857,33.03,25.7,25.835714286,21.648571429,28.25,23.95,27.3,78.5371428571,33.03,16.1442857143,2.54285714286,27.5714285714,8.67142857143,32.8,22.2,12.6,9,0
"368",1997,21,0.0798,0.1065333,0.1590333,0.09873333,0,26.091428571,26.235714286,21.511428571,27.95,24.65,10.1,75.9828571429,0,15.9971428571,2.42857142857,27.5857142857,7.08571428571,32.2,23.9,12.9,3,0
"369",1997,22,0.0235,0.05535,0.2090857,0.1450571,64.1,26.131428571,26.285714286,22.112857143,28.25,24.55,10.5,78.7114285714,64.1,16.66,2.67142857143,27.3142857143,7.02857142857,31.7,22.8,30.5,7,0
"567",2001,12,0.1274333,0.059925,0.1592286,0.1408857,0,25.222857143,25.442857143,19.895714286,27.15,23.65,1.69,72.4428571429,0,14.4828571429,2.44285714286,26.3285714286,7.52857142857,30.6,21.7,12.7,8,0
"568",2001,13,0.1274333,0.2705,0.2435714,0.2178143,6.11,24.542857143,24.728571429,21.017142857,27.35,22.65,21.55,80.8357142857,6.11,15.5557142857,2.1,26.0428571429,6.51428571429,32.2,21.7,26.7,19,0
"569",2001,14,0.2127,0.1044,0.1409,0.1628857,0,25.721428571,25.942857143,20.832857143,27.85,24.05,3.45,74.43,0,15.3357142857,2.67142857143,27.0857142857,8.12857142857,32.2,22.2,0.5,11,0
"570",2001,15,0.2127,0.30695,0.31445,0.2761833,5.2,24.962857143,25.107142857,20.635714286,26.65,23.15,23.5,77.0228571429,5.2,15.1528571429,2.37142857143,26.2714285714,7.08571428571,30.6,21.7,13,4,0
"571",2001,16,0.0728,0.07826667,0.2111714,0.2161286,11.84,25.117142857,25.257142857,19.832857143,28.05,22.35,3.59,72.64,11.84,14.4171428571,3.81428571429,26.7,7.21428571429,32.2,22.2,8.1,6,0
"572",2001,17,0.0728,0.05855,0.1227286,0.1131857,35.69,25.601428571,25.685714286,21.131428571,28.15,23.55,22.36,76.5814285714,35.69,15.63,3.12857142857,27.2,7.77142857143,33.3,22.8,20.6,6,0
"573",2001,18,0.0728,-0.1055,0.1861714,0.1770571,19.98,25.137142857,25.15,20.53,27.35,22.85,9.03,75.7142857143,19.98,15.0614285714,2.6,26.7571428571,7.15714285714,31.1,22.2,16,8,0
"574",2001,19,0.0371,0.0705,0.04781429,0.06374286,59.89,26.268571429,26.35,22.215714286,28.85,24.25,16.8,78.5671428571,59.89,16.7714285714,3.2,27.4857142857,7.05714285714,32.2,22.8,64.3,13,0
"575",2001,20,0.1031,0.0941,0.1984833,0.1765571,77.36,25.984285714,26.107142857,22.705714286,28.55,24.15,78.1,82.35,77.36,17.2685714286,2.94285714286,27.8571428571,6.04285714286,32.2,24.4,60.5,8,0
"576",2001,21,0.08608,0.07736,0.1701429,0.1679429,35.54,26.801428571,26.835714286,22.195714286,29.05,24.45,2,76.07,35.54,16.73,3.82857142857,28.8285714286,8.32857142857,33.9,23.3,7.4,8,0
"577",2001,22,0.0619,0.0333,0.1977333,0.1659857,10.8,26.631428571,26.692857143,22.491428571,28.85,24.85,8.1,78.1514285714,10.8,16.9957142857,3.08571428571,28.4714285714,6.58571428571,32.8,25,16.6,5,0
"671",2003,12,-0.05203333,0.01422,0.1556429,0.1822714,0,25.731428571,25.907142857,20.334285714,27.65,24.25,1.8,72.1357142857,0,14.8842857143,2.42857142857,26.4571428571,7.92857142857,31.1,21.7,1.3,7,0
"672",2003,13,-0.1169,-0.091575,0.1527286,0.1867714,0,25.6028571430001,25.885714286,20.651428571,28.45,23.15,7.3,74.3257142857,0,15.2214285714,3.75714285714,26.9285714286,7.05714285714,32.2,22.8,2,12,0
"673",2003,14,0.0925,-0.05085,0.1298,0.1214286,0,25.75,25.892857143,21.181428571,28.75,23.65,7.5,76.1342857143,0,15.73,3.37142857143,26.7,6.98571428571,33.3,22.2,30,3,0
"674",2003,15,0.12815,0.09896667,0.1515,0.1395429,38.52,25.18,25.257142857,21.392857143,27.95,22.95,43.64,79.6357142857,38.52,15.9014285714,2.7,26.4,6.17142857143,32.2,22.8,28.2,2,0
"675",2003,16,0.12815,-0.0029,0.07464286,0.09557143,5.96,25.552857143,25.621428571,21.857142857,28.15,23.65,23.5,80.2414285714,5.96,16.3814285714,2.74285714286,26.4285714286,6.68571428571,31.7,22.8,46.5,7,0
"676",2003,17,-0.078,-0.1252,0.1486714,0.1594714,389.6,25.295714286,25.271428571,22.332857143,28.25,23.15,111.7,83.7514285714,389.6,16.8857142857,2.78571428571,25.3571428571,6.42857142857,30.6,20.6,88.2,5,0
"677",2003,18,0.0681,0.0355,0.2512714,0.2120714,26.56,26.035714286,26.25,22.297142857,29.15,23.65,15.2,80.0714285714,26.56,16.8328571429,3.08571428571,26.9285714286,6.5,32.2,23.3,75.2,5,0
"678",2003,19,-0.0477,0.072125,0.2656833,0.2382143,16.65,26.888571429,27.057142857,22.03,29.05,25.15,1.5,74.8085714286,16.65,16.5171428571,3.01428571429,27.6428571429,7.57142857143,32.8,23.3,2.5,7,0
"679",2003,20,0.01485,-0.0432,0.1687571,0.1725429,10.86,26.427142857,26.578571429,21.451428571,28.35,24.55,7.7,74.23,10.86,15.93,2.71428571429,26.9,6.82857142857,31.1,22.8,7,7,0
"680",2003,21,0.01485,0.0041,0.1526143,0.1243571,60.93,26.484285714,26.557142857,22.034285714,28.35,24.85,13.76,76.7042857143,60.93,16.5728571429,2.32857142857,27.0571428571,6.77142857143,31.1,22.8,10.1,7,0
"681",2003,22,-0.0457,-0.007566667,0.1959143,0.1780571,111.7,26.3585714290001,26.535714286,22.867142857,28.65,23.85,28.3,81.2914285714,111.7,17.4242857143,2.4,27.7571428571,6.75714285714,32.2,22.8,22.9,7,0
"151",1993,12,0.03225,0.10315,0.1850143,0.2041857,27,24.435714286,24.521428571,20.072857143,26.65,23.15,13,76.8485714286,27,14.6485714286,2.25714285714,26.1428571429,7.52857142857,31.1,20.6,12.8,8,0
"152",1993,13,0.1194,0.08853333,0.1404714,0.1174286,0,24.19,24.292857143,20.662857143,26.25,22.55,20.27,80.7957142857,0,15.2,2.14285714286,26.8857142857,7.62857142857,32.8,22.2,4.1,8,0
"153",1993,14,0.1194,0.0423,0.1903667,0.2082143,7.49,24.595714286,24.742857143,20.6028571430001,26.95,23.05,14.2,78.5642857143,7.49,15.1628571429,2.35714285714,27.2,7.71428571429,32.8,21.1,4.6,6,0
"154",1993,15,-0.0158,0.01885,0.068,0.0834,19.74,24.862857143,24.85,20.915714286,26.95,22.75,23.2,78.9614285714,19.74,15.5,3.05714285714,27.0714285714,7.78571428571,33.3,22.2,11.7,6,0
"155",1993,16,0.0828,0.0788,0.1334571,0.1317,114.85,24.378571429,24.592857143,20.922857143,26.95,21.35,63.49,81.2714285714,114.85,15.4885714286,2.77142857143,25.8714285714,7.44285714286,31.1,21.7,8.4,7,0
"156",1993,17,0.0828,0.09256667,0.1315167,0.1252286,33.35,25.441428571,25.542857143,22.044285714,27.25,23.85,34.3,81.6557142857,33.35,16.5971428571,2.47142857143,27.4857142857,8.38571428571,32.8,22.2,28.3,12,0
"157",1993,18,0.07965,0.06415,0.1547429,0.1291571,37.35,25.002857143,25.035714286,22.11,26.95,23.75,40.7,84.0814285714,37.35,16.6585714286,1.85714285714,26.9428571429,6.27142857143,32.2,22.2,114.3,17,0
"158",1993,19,0.07305,0.052,0.1074857,0.1070286,34.9,24.521428571,24.542857143,21.697142857,27.25,22.95,142.4,84.5214285714,34.9,16.2671428571,2.5,26.4714285714,6,31.1,22.8,18.3,10,0
"159",1993,20,0.1769,0.0901,0.1792,0.1866833,14.84,25.454285714,25.571428571,22.174285714,28.05,23.25,55.67,82.4357142857,14.84,16.8571428571,2.21428571429,28.2285714286,7.22857142857,33.9,23.3,4.6,10,0
"160",1993,21,0.01645,0.10485,0.05147143,0.0644,78.17,26.214285714,26.228571429,23.525714286,28.65,24.45,100.2,85.3985714286,78.17,18.1857142857,2.27142857143,28.9428571429,7.22857142857,33.9,23.3,32.1,18,0
"161",1993,22,0.00305,0.0506,0.1981857,0.1761,62.2,25.694285714,25.764285714,23.301428571,28.25,24.15,93.2,86.9,62.2,17.9514285714,1.91428571429,27.6428571429,5.88571428571,31.1,22.8,58.3,19,0
"307",1996,12,0.07713333,0.1118,0.1855286,0.2112714,0,24.278571429,24.45,20.684285714,27.45,22.05,28,80.6471428571,0,15.2357142857,2.54285714286,26.2,7.7,32.2,22.2,14.2,4,0
"308",1996,13,0.07713333,-0.0457,0.1378857,0.1538429,0,25.038571429,25.214285714,19.934285714,27.25,23.55,2.8,73.4257142857,0,14.5285714286,2.92857142857,26.4,9.02857142857,32.2,20.6,0.5,5,0
"309",1996,14,0.0448,0.024225,0.0851,0.1079429,0,24.06,24.257142857,20.171428571,27.15,22.25,28.8,79.02,0,14.7271428571,2.55714285714,25.9285714286,6.9,31.1,21.7,21.6,5,0
"310",1996,15,0.0497,0.1488,0.1627286,0.1776429,49.18,24.985714286,25.057142857,21.215714286,27.65,23.15,27.9,79.7757142857,49.18,15.7514285714,2.52857142857,26.2285714286,7.68571428571,32.2,21.7,80.5,11,0
"311",1996,16,0.08893333,0.12235,0.2162143,0.2278286,46.16,24.702857143,24.942857143,20.65,27.55,22.55,24.22,78.3114285714,46.16,15.1857142857,2.3,26.1285714286,6.72857142857,32.2,21.1,8.9,11,0
"312",1996,17,0.08893333,0.1078,0.1786857,0.1805143,0,25.078571429,25.3142857140001,20.132857143,27.25,23.85,10.9,74.1714285714,0,14.7057142857,2.38571428571,26.1285714286,6.4,30,22.2,8.2,7,0
"313",1996,18,0.3144667,0.1974,0.2231,0.2046286,5.63,24.857142857,24.942857143,20.388571429,26.65,23.45,21.5,76.3942857143,5.63,14.9385714286,1.84285714286,26.0142857143,6.62857142857,30,22.2,25.6,4,0
"314",1996,19,-0.0464,-0.0384,0.0964,0.09445714,0,24.56,24.65,19.765714286,26.25,23.15,11.1,74.7928571429,0,14.3614285714,2.17142857143,25.4428571429,6.32857142857,29.4,21.7,10.6,6,0
"315",1996,20,-0.0464,0.07175,0.1463,0.1586429,21.7,24.445714286,24.478571429,21.301428571,26.95,23.05,68.2,82.84,21.7,15.7971428571,1.71428571429,25.8428571429,5.54285714286,29.4,22.2,44.8,5,0
"316",1996,21,0.0339,0.0557,0.2153167,0.21815,44.07,25.508571429,25.771428571,22.317142857,27.55,24.25,17.9,82.78,44.07,16.8571428571,2.44285714286,26.7285714286,6.34285714286,30.6,22.8,0.8,2,0
"317",1996,22,0.09985,0.1066,0.1409857,0.1087857,68.06,26.291428571,26.442857143,23.087142857,28.65,24.35,21.71,82.7514285714,68.06,17.66,2.81428571429,28.1142857143,6.91428571429,33.3,23.3,9.4,4,0
